,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
911,0 days 02:09:09.859000,SAI,55,0 days 00:01:37.587000,40.0,3.0,,,0 days 00:00:31.207000,0 days 00:00:42.653000,0 days 00:00:23.727000,0 days 02:08:03.486000,0 days 02:08:46.139000,0 days 02:09:09.866000,,247.0,282.0,304.0,False,HARD,9.0,True,Ferrari,0 days 02:07:32.272000,2023-03-05 16:08:34.121,2,3.0,False,,False,True
912,0 days 02:11:16.295000,SAI,55,0 days 00:02:06.436000,41.0,3.0,,,0 days 00:00:39.595000,0 days 00:00:57.789000,0 days 00:00:29.052000,0 days 02:09:49.461000,0 days 02:10:47.250000,0 days 02:11:16.302000,134.0,161.0,283.0,303.0,False,HARD,10.0,True,Ferrari,0 days 02:09:09.859000,2023-03-05 16:10:11.708,267,3.0,False,,False,False
913,0 days 02:12:53.670000,SAI,55,0 days 00:01:37.375000,42.0,3.0,,,0 days 00:00:31.107000,0 days 00:00:42.449000,0 days 00:00:23.819000,0 days 02:11:47.409000,0 days 02:12:29.858000,0 days 02:12:53.677000,231.0,243.0,282.0,,False,HARD,11.0,True,Ferrari,0 days 02:11:16.295000,2023-03-05 16:12:18.144,1,3.0,False,,False,True
914,0 days 02:14:30.964000,SAI,55,0 days 00:01:37.294000,43.0,3.0,,,0 days 00:00:31.141000,0 days 00:00:42.431000,0 days 00:00:23.722000,0 days 02:13:24.818000,0 days 02:14:07.249000,0 days 02:14:30.971000,229.0,244.0,282.0,,False,HARD,12.0,True,Ferrari,0 days 02:12:53.670000,2023-03-05 16:13:55.519,1,3.0,False,,False,True
915,0 days 02:16:08.353000,SAI,55,0 days 00:01:37.389000,44.0,3.0,,,0 days 00:00:31.200000,0 days 00:00:42.482000,0 days 00:00:23.707000,0 days 02:15:02.171000,0 days 02:15:44.653000,0 days 02:16:08.360000,235.0,254.0,282.0,305.0,False,HARD,13.0,True,Ferrari,0 days 02:14:30.964000,2023-03-05 16:15:32.813,1,3.0,False,,False,True
916,0 days 02:17:47.914000,SAI,55,0 days 00:01:39.561000,45.0,3.0,,,0 days 00:00:31.572000,0 days 00:00:43.669000,0 days 00:00:24.320000,0 days 02:16:39.932000,0 days 02:17:23.601000,0 days 02:17:47.921000,231.0,251.0,289.0,304.0,False,HARD,14.0,True,Ferrari,0 days 02:16:08.353000,2023-03-05 16:17:10.202,1,4.0,False,,False,True
917,0 days 02:19:25.758000,SAI,55,0 days 00:01:37.844000,46.0,3.0,,,0 days 00:00:30.975000,0 days 00:00:42.701000,0 days 00:00:24.168000,0 days 02:18:18.896000,0 days 02:19:01.597000,0 days 02:19:25.765000,233.0,252.0,284.0,324.0,False,HARD,15.0,True,Ferrari,0 days 02:17:47.914000,2023-03-05 16:18:49.763,1,4.0,False,,False,True
918,0 days 02:21:03.980000,SAI,55,0 days 00:01:38.222000,47.0,3.0,,,0 days 00:00:31.548000,0 days 00:00:42.699000,0 days 00:00:23.975000,0 days 02:19:57.313000,0 days 02:20:40.012000,0 days 02:21:03.987000,230.0,253.0,283.0,308.0,False,HARD,16.0,True,Ferrari,0 days 02:19:25.758000,2023-03-05 16:20:27.607,1,4.0,False,,False,True
919,0 days 02:22:41.877000,SAI,55,0 days 00:01:37.897000,48.0,3.0,,,0 days 00:00:31.407000,0 days 00:00:42.577000,0 days 00:00:23.913000,0 days 02:21:35.394000,0 days 02:22:17.971000,0 days 02:22:41.884000,229.0,250.0,283.0,298.0,False,HARD,17.0,True,Ferrari,0 days 02:21:03.980000,2023-03-05 16:22:05.829,1,4.0,False,,False,True
920,0 days 02:24:19.642000,SAI,55,0 days 00:01:37.765000,49.0,3.0,,,0 days 00:00:31.407000,0 days 00:00:42.490000,0 days 00:00:23.868000,,0 days 02:23:55.781000,0 days 02:24:19.649000,230.0,253.0,283.0,299.0,False,HARD,18.0,True,Ferrari,0 days 02:22:41.877000,2023-03-05 16:23:43.726,1,4.0,False,,False,True
921,0 days 02:25:57.246000,SAI,55,0 days 00:01:37.604000,50.0,3.0,,,0 days 00:00:31.261000,0 days 00:00:42.436000,0 days 00:00:23.907000,0 days 02:24:50.910000,0 days 02:25:33.346000,0 days 02:25:57.253000,229.0,253.0,283.0,298.0,False,HARD,19.0,True,Ferrari,0 days 02:24:19.642000,2023-03-05 16:25:21.491,1,4.0,False,,False,True
922,0 days 02:27:34.918000,SAI,55,0 days 00:01:37.672000,51.0,3.0,,,0 days 00:00:31.269000,0 days 00:00:42.491000,0 days 00:00:23.912000,0 days 02:26:28.522000,0 days 02:27:11.013000,0 days 02:27:34.925000,230.0,252.0,282.0,,False,HARD,20.0,True,Ferrari,0 days 02:25:57.246000,2023-03-05 16:26:59.095,1,4.0,False,,False,True
